Generation,Average Fitness
0,0.3508000000000005
1,0.38360000000000005
2,0.4295999999999999
3,0.48500000000000015
4,0.5255999999999997
5,0.5523999999999999
6,0.5864000000000001
7,0.6019999999999993
8,0.6107999999999996
9,0.6320000000000005
10,0.6677999999999992
11,0.6862
12,0.7063999999999997
13,0.7031999999999994
14,0.7184000000000008
15,0.7307999999999996
16,0.7438000000000001
17,0.7281999999999997
18,0.7439999999999997
19,0.7648000000000003
20,0.7619999999999998
21,0.7642000000000002
22,0.7821999999999993
23,0.7837999999999997
24,0.7959999999999996
25,0.7963999999999998
26,0.7993999999999997
27,0.8031999999999994
28,0.7925999999999994
29,0.7925999999999999
30,0.7989999999999997
31,0.8041999999999996
32,0.8171999999999984
33,0.8083999999999993
34,0.8195999999999991
35,0.8029999999999995
36,0.8189999999999987
37,0.810999999999999
38,0.8105999999999983
39,0.8149999999999993
40,0.8107999999999999
41,0.8155999999999993
42,0.8195999999999997
43,0.8001999999999996
44,0.8113999999999993
45,0.8063999999999993
46,0.8113999999999996
47,0.8066
48,0.8207999999999998
49,0.8165999999999992
50,0.8269999999999994
51,0.8222
52,0.8225999999999992
53,0.8227999999999996
54,0.8295999999999991
55,0.822399999999999
56,0.8109999999999995
57,0.8189999999999997
58,0.8307999999999995
59,0.8287999999999995
60,0.8325999999999998
61,0.8257999999999998
62,0.8229999999999996
63,0.8337999999999991
64,0.8309999999999996
65,0.8213999999999996
66,0.8225999999999991
67,0.822399999999999
68,0.827999999999999
69,0.8387999999999993
70,0.8273999999999997
71,0.8331999999999988
72,0.8353999999999997
73,0.8301999999999992
74,0.8253999999999987
75,0.8269999999999988
76,0.8303999999999995
77,0.8241999999999997
78,0.8327999999999995
79,0.8315999999999992
80,0.8401999999999993
81,0.8284
82,0.8317999999999998
83,0.8333999999999993
84,0.8307999999999995
85,0.8201999999999997
86,0.8331999999999989
87,0.8351999999999994
88,0.8405999999999995
89,0.8289999999999994
90,0.8350000000000001
91,0.8409999999999996
92,0.836
93,0.8375999999999991
94,0.8347999999999988
95,0.8349999999999986
96,0.8297999999999993
97,0.8415999999999987
98,0.834399999999999
99,0.8305999999999987
100,0.8371999999999991
101,0.835399999999999
102,0.8413999999999999
103,0.8421999999999996
104,0.8377999999999992
105,0.8305999999999988
106,0.8405999999999988
107,0.8323999999999989
108,0.8319999999999993
109,0.8397999999999989
110,0.8413999999999989
111,0.8435999999999989
112,0.8423999999999985
113,0.8345999999999989
114,0.8447999999999999
115,0.8337999999999995
116,0.8443999999999993
117,0.842199999999999
118,0.8481999999999987
119,0.8521999999999987
120,0.8581999999999996
121,0.8483999999999997
122,0.8481999999999997
123,0.8405999999999992
124,0.8433999999999992
125,0.8385999999999988
126,0.8467999999999996
127,0.8513999999999987
128,0.8481999999999986
129,0.8405999999999989
130,0.8435999999999994
131,0.8529999999999991
132,0.8545999999999986
133,0.8473999999999982
134,0.8527999999999988
135,0.8413999999999986
136,0.8455999999999985
137,0.8507999999999993
138,0.8489999999999991
139,0.8559999999999985
140,0.8537999999999991
141,0.8581999999999991
142,0.8477999999999981
143,0.8425999999999987
144,0.8403999999999994
145,0.8571999999999986
146,0.8507999999999987
147,0.852999999999999
148,0.8515999999999995
149,0.8491999999999994
150,0.8495999999999995
151,0.8547999999999991
152,0.8599999999999992
153,0.8565999999999991
154,0.8505999999999994
155,0.8469999999999986
156,0.8495999999999989
157,0.8511999999999987
158,0.8595999999999987
159,0.8407999999999991
160,0.8543999999999985
161,0.8459999999999988
162,0.8545999999999996
163,0.8537999999999998
164,0.8577999999999988
165,0.8535999999999984
166,0.8471999999999993
167,0.8495999999999994
168,0.857199999999999
169,0.8519999999999989
170,0.8623999999999992
171,0.8577999999999979
172,0.8579999999999991
173,0.8555999999999985
174,0.8577999999999995
175,0.8545999999999992
176,0.8543999999999993
177,0.8505999999999988
178,0.8599999999999987
179,0.8559999999999984
180,0.8515999999999981
181,0.8513999999999985
182,0.8605999999999997
183,0.8603999999999992
184,0.8611999999999986
185,0.8629999999999992
186,0.8471999999999982
187,0.8587999999999992
188,0.8585999999999984
189,0.8531999999999984
190,0.8597999999999992
191,0.8621999999999983
192,0.862399999999999
193,0.8639999999999987
194,0.8551999999999984
195,0.859999999999999
196,0.8639999999999991
197,0.8573999999999984
198,0.8567999999999981
199,0.8549999999999992
