Player 1 Name (Black),Player 2 Name (White),Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
dqn,ga,93,267.5,White,174.5,723
dqn,ga,301,52.5,Black,248.5,647
dqn,ga,65,270.5,White,205.5,723
dqn,ga,43,323.5,White,280.5,723
dqn,ga,115,248.5,White,133.5,665
dqn,ga,120,224.5,White,104.5,723
dqn,ga,23,338.5,White,315.5,723
dqn,ga,109,250.5,White,141.5,571
dqn,ga,11,324.5,White,313.5,723
dqn,ga,212,151.5,Black,60.5,498
dqn,ga,115,248.5,White,133.5,665
dqn,mcts,155,191.5,White,36.5,367
dqn,mcts,154,184.5,White,30.5,333
dqn,mcts,136,205.5,White,69.5,427
dqn,mcts,173,181.5,White,8.5,439
dqn,mcts,143,210.5,White,67.5,439
dqn,mcts,163,194.5,White,31.5,483
dqn,mcts,93,98.5,White,5.5,187
dqn,mcts,136,205.5,White,69.5,427
dqn,mcts,160,182.5,White,22.5,431
dqn,mcts,158,188.5,White,30.5,427
dqn,mcts,155,164.5,White,9.5,311
dqn,mcts_trained,30,36.5,White,6.5,63
dqn,mcts_trained,169,188.5,White,19.5,445
dqn,mcts_trained,140,214.5,White,74.5,491
dqn,mcts_trained,74,288.5,White,214.5,723
dqn,mcts_trained,174,192.5,White,18.5,513
dqn,mcts_trained,136,201.5,White,65.5,413
dqn,mcts_trained,156,205.5,White,49.5,457
dqn,mcts_trained,143,210.5,White,67.5,439
dqn,mcts_trained,160,182.5,White,22.5,431
dqn,mcts_trained,136,201.5,White,65.5,445
dqn,mcts_trained,100,103.5,White,3.5,291
dqn,random,74,285.5,White,211.5,723
dqn,random,298,55.5,Black,242.5,723
dqn,random,136,204.5,White,68.5,430
dqn,random,134,220.5,White,86.5,507
dqn,random,171,195.5,White,24.5,485
dqn,random,152,199.5,White,47.5,483
dqn,random,155,145.5,Black,9.5,297
dqn,random,160,205.5,White,45.5,592
dqn,random,63,157.5,White,94.5,518
dqn,random,171,195.5,White,24.5,433
dqn,random,227,138.5,Black,88.5,617
ga,dqn,224,137.5,Black,86.5,513
ga,dqn,164,162.5,Black,1.5,342
ga,dqn,186,163.5,Black,22.5,410
ga,dqn,172,170.5,Black,1.5,356
ga,dqn,224,137.5,Black,86.5,511
ga,dqn,39,323.5,White,284.5,723
ga,dqn,132,211.5,White,79.5,503
ga,dqn,46,304.5,White,258.5,723
ga,dqn,178,165.5,Black,12.5,356
ga,dqn,197,165.5,Black,31.5,546
ga,dqn,303,59.5,Black,243.5,679
ga,mcts,145,189.5,White,44.5,445
ga,mcts,63,283.5,White,220.5,649
ga,mcts,159,202.5,White,43.5,453
ga,mcts,159,177.5,White,18.5,387
ga,mcts,65,286.5,White,221.5,663
ga,mcts,161,197.5,White,36.5,421
ga,mcts,167,191.5,White,24.5,493
ga,mcts,159,177.5,White,18.5,381
ga,mcts,168,185.5,White,17.5,475
ga,mcts,180,175.5,Black,4.5,420
ga,mcts,154,187.5,White,33.5,405
ga,mcts_trained,65,70.5,White,5.5,131
ga,mcts_trained,163,179.5,White,16.5,405
ga,mcts_trained,167,182.5,White,15.5,457
ga,mcts_trained,128,143.5,White,15.5,261
ga,mcts_trained,138,139.5,White,1.5,271
ga,mcts_trained,153,169.5,White,16.5,321
ga,mcts_trained,131,125.5,Black,5.5,254
ga,mcts_trained,149,157.5,White,8.5,299
ga,mcts_trained,134,153.5,White,19.5,390
ga,mcts_trained,134,153.5,White,19.5,283
ga,mcts_trained,152,160.5,White,8.5,305
ga,random,286,62.5,Black,223.5,723
ga,random,253,97.5,Black,155.5,584
ga,random,160,191.5,White,31.5,721
ga,random,310,45.5,Black,264.5,723
ga,random,70,290.5,White,220.5,723
ga,random,186,172.5,Black,13.5,527
ga,random,179,186.5,White,7.5,603
ga,random,52,295.5,White,243.5,723
ga,random,286,78.5,Black,207.5,679
ga,random,70,290.5,White,220.5,463
ga,random,220,136.5,White,83.5,530
mcts,dqn,173,170.5,Black,2.5,382
mcts,dqn,188,148.5,Black,39.5,362
mcts,dqn,213,143.5,Black,69.5,526
mcts,dqn,184,176.5,Black,7.5,466
mcts,dqn,186,175.5,Black,10.5,432
mcts,dqn,228,118.5,Black,109.5,480
mcts,dqn,277,60.5,Black,216.5,723
mcts,dqn,188,148.5,Black,39.5,517
mcts,dqn,185,173.5,Black,11.5,506
mcts,dqn,214,142.5,Black,71.5,458
mcts,dqn,213,148.5,Black,64.5,522
mcts,ga,209,144.5,Black,64.5,466
mcts,ga,206,159.5,Black,46.5,485
mcts,ga,198,159.5,Black,38.5,458
mcts,ga,209,155.5,Black,53.5,586
mcts,ga,188,162.5,Black,25.5,412
mcts,ga,209,155.5,Black,53.5,512
mcts,ga,252,111.5,Black,140.5,708
mcts,ga,62,294.5,White,232.5,723
mcts,ga,193,170.5,Black,22.5,525
mcts,ga,166,163.5,Black,2.5,356
mcts,ga,198,165.5,Black,32.5,505
mcts,mcts_trained,161,174.5,White,13.5,337
mcts,mcts_trained,154,187.5,White,33.5,371
mcts,mcts_trained,178,161.5,Black,16.5,352
mcts,mcts_trained,173,155.5,Black,17.5,432
mcts,mcts_trained,160,159.5,Black,0.5,329
mcts,mcts_trained,131,146.5,White,15.5,267
mcts,mcts_trained,152,184.5,White,32.5,387
mcts,mcts_trained,173,155.5,Black,17.5,412
mcts,mcts_trained,168,197.5,White,29.5,509
mcts,mcts_trained,182,164.5,Black,17.5,364
mcts,mcts_trained,164,155.5,Black,8.5,326
mcts,random,121,119.5,Black,1.5,232
mcts,random,167,155.5,Black,11.5,326
mcts,random,120,119.5,Black,0.5,237
mcts,random,252,97.5,Black,154.5,723
mcts,random,205,155.5,Black,49.5,440
mcts,random,169,163.5,Black,5.5,336
mcts,random,176,172.5,Black,3.5,386
mcts,random,160,158.5,Black,1.5,326
mcts,random,252,97.5,Black,154.5,473
mcts,random,207,133.5,Black,73.5,422
mcts,random,196,121.5,Black,74.5,486
mcts_trained,dqn,160,100.5,Black,59.5,403
mcts_trained,dqn,182,161.5,Black,20.5,364
mcts_trained,dqn,227,135.5,Black,91.5,508
mcts_trained,dqn,203,149.5,Black,53.5,412
mcts_trained,dqn,290,69.5,Black,220.5,696
mcts_trained,dqn,195,168.5,Black,26.5,524
mcts_trained,dqn,202,161.5,Black,40.5,536
mcts_trained,dqn,260,200.5,Black,59.5,523
