Player 1 Name (Black),Player 2 Name (White),Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
mcts_beginner,mcts_intermediate,175,162.5,Black,12.5,378
mcts_beginner,mcts_intermediate,126,129.5,White,3.5,241
mcts_beginner,mcts_intermediate,163,181.5,White,18.5,475
mcts_beginner,mcts_intermediate,166,153.5,Black,12.5,318
mcts_beginner,mcts_intermediate,110,120.5,White,10.5,225
mcts_beginner,mcts_intermediate,170,179.5,White,9.5,367
mcts_beginner,mcts_intermediate,151,179.5,White,28.5,341
mcts_beginner,mcts_intermediate,133,141.5,White,8.5,261
mcts_beginner,mcts_intermediate,82,81.5,Black,0.5,151

mcts_casual,mcts,111,114.5,White,3.5,221
mcts_casual,mcts,140,141.5,White,1.5,273
mcts_casual,mcts,103,107.5,White,4.5,205
mcts_casual,mcts,134,136.5,White,2.5,259
mcts_casual,mcts,178,188.5,White,10.5,504
mcts_casual,mcts,44,51.5,White,7.5,91
mcts_casual,mcts,251,69.5,Black,181.5,550
mcts_casual,mcts,76,82.5,White,6.5,153
mcts_casual,mcts,179,163.5,Black,15.5,374
mcts_casual,mcts,90,89.5,Black,0.5,173
mcts_casual,mcts_advanced,129,140.5,White,11.5,261
mcts_casual,mcts_advanced,165,163.5,Black,1.5,336
mcts_casual,mcts_advanced,163,167.5,White,4.5,353
mcts_casual,mcts_advanced,194,159.5,Black,34.5,458
mcts_casual,mcts_advanced,166,171.5,White,5.5,337
mcts_casual,mcts_advanced,160,178.5,White,18.5,341
mcts_casual,mcts_advanced,116,124.5,White,8.5,233
mcts_casual,mcts_advanced,39,45.5,White,6.5,81
mcts_casual,mcts_advanced,172,172.5,White,0.5,363
mcts_casual,mcts_advanced,51,57.5,White,6.5,105
mcts_casual,mcts_beginner,173,167.5,Black,5.5,386
mcts_casual,mcts_beginner,152,176.5,White,24.5,327
mcts_casual,mcts_beginner,166,156.5,Black,9.5,322
mcts_casual,mcts_beginner,165,178.5,White,13.5,415
mcts_casual,mcts_beginner,118,124.5,White,6.5,235
mcts_casual,mcts_beginner,169,178.5,White,9.5,395
mcts_casual,mcts_beginner,180,174.5,Black,5.5,518
mcts_casual,mcts_beginner,41,45.5,White,4.5,81
mcts_casual,mcts_beginner,186,143.5,Black,42.5,360
mcts_casual,mcts_beginner,103,113.5,White,10.5,211
mcts_casual,mcts_intermediate,180,170.5,Black,9.5,398
mcts_casual,mcts_intermediate,135,134.5,Black,0.5,259
mcts_casual,mcts_intermediate,150,161.5,White,11.5,307
mcts_casual,mcts_intermediate,74,79.5,White,5.5,147
mcts_casual,mcts_intermediate,173,154.5,Black,18.5,346
mcts_casual,mcts_intermediate,162,182.5,White,20.5,395
mcts_casual,mcts_intermediate,139,154.5,White,15.5,291
mcts_casual,mcts_intermediate,178,173.5,Black,4.5,390
mcts_casual,mcts_intermediate,145,152.5,White,7.5,291
mcts_casual,mcts_intermediate,153,160.5,White,7.5,303

mcts_intermediate,mcts,108,114.5,White,6.5,213
mcts_intermediate,mcts,110,113.5,White,3.5,215
mcts_intermediate,mcts,133,133.5,White,0.5,261
mcts_intermediate,mcts,162,169.5,White,7.5,329
mcts_intermediate,mcts,162,169.5,White,7.5,347
mcts_intermediate,mcts,129,142.5,White,13.5,263
