Episode,DQN Loss,Mean Episode Rewards
1000,0.031043079,-0.37
2000,0.015735842,-0.02
3000,0.03135858,0.26
4000,0.023011714,0.16
5000,0.0083722,0.39
6000,3.1865642e-05,-0.02
7000,2.5267253e-05,0.09
8000,0.0072447117,0.78
