Player 1 Name,Player 2 Name,Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
ga,random,73,11.5,Black,61.5,163
ga,random,49.5,38,Black,11.5,108
ga,random,44,40.5,Black,3.5,109
ga,random,76,9.5,Black,66.5,163
ga,random,12,71.5,White,59.5,163
ga,random,74,11.5,Black,62.5,163
ga,random,71,11.5,Black,59.5,163
ga,random,24,12.5,Black,11.5,163
mcts,ga,53,20.5,Black,32.5,126
mcts,ga,59,23.5,Black,35.5,124
mcts,ga,45,37.5,Black,7.5,88
mcts,ga,45,39.5,Black,5.5,96
mcts,ga,57,24.5,Black,32.5,104
mcts,ga,48,37.5,Black,10.5,106
mcts,ga,45,39.5,Black,5.5,105
mcts,ga,52,32.5,Black,19.5,114
mcts,ga,52,32.5,Black,19.5,116
mcts,ga,53,30.5,Black,22.5,123
mcts,ga,45,37.5,Black,7.5,98
mcts,ga,40,47.5,White,7.5,98
mcts,ga,49,35.5,Black,13.5,106
mcts,ga,33,18.5,Black,14.5,163
mcts,ga,48,39.5,Black,8.5,109
mcts,ga,53,30.5,Black,22.5,106
mcts,ga,45,42.5,Black,2.5,111
mcts,ga,66,21.5,Black,44.5,134
mcts,ga,58,23.5,Black,34.5,116
mcts,ga,44,33.5,Black,10.5,80
mcts,ga,46,37.5,Black,8.5,98
mcts,ga,49,34.5,Black,14.5,103
mcts,ga,49,31.5,Black,17.5,100
mcts,ga,43,38.5,Black,4.5,88
mcts,ga,50,33.5,Black,16.5,96
mcts,ga,60,24.5,Black,35.5,121
mcts,ga,67,17.5,Black,49.5,130
mcts,ga,46,40.5,Black,5.5,101
mcts,ga,52,27.5,Black,24.5,104
mcts,ga,40,44.5,White,4.5,101
mcts,ga,48,38.5,Black,9.5,93
mcts,ga,60,21.5,Black,38.5,128
mcts,ga,62,23.5,Black,38.5,132
mcts,ga,46,39.5,Black,6.5,98
mcts,ga,46,39.5,Black,6.5,94
mcts,ga,45,39.5,Black,5.5,90
mcts,ga,47,38.5,Black,8.5,104
mcts,ga,52,31.5,Black,20.5,102
mcts,ga,48,35.5,Black,12.5,108
mcts,ga,41,34.5,Black,6.5,70
mcts,ga,37,27.5,Black,9.5,163
mcts,ga,48,38.5,Black,9.5,116
mcts,ga,49,37.5,Black,11.5,96
mcts,ga,49,32.5,Black,16.5,102
mcts,ga,46,35.5,Black,10.5,86
mcts,ga,41,37.5,Black,3.5,76
mcts,ga,47,34.5,Black,12.5,99
mcts,ga,44,40.5,Black,3.5,99
mcts,ga,37,48.5,White,11.5,96
mcts,ga,57,28.5,Black,28.5,114
mcts,mcts_9x9,25,32.5,White,7.5,55
mcts,mcts_9x9,36,49.5,White,13.5,120
mcts,mcts_9x9,5,11.5,White,6.5,13
mcts,mcts_9x9,30,43.5,White,13.5,73
mcts,mcts_9x9,29,35.5,White,6.5,61
mcts,mcts_9x9,33,51.5,White,18.5,100
mcts,mcts_9x9,21,24.5,White,3.5,41
mcts,mcts_9x9,29,39.5,White,10.5,63
mcts,mcts_9x9,47,39.5,Black,7.5,111
mcts,mcts_9x9,7,13.5,White,6.5,17
mcts,mcts_9x9,30,46.5,White,16.5,93
mcts,mcts_9x9,18,24.5,White,6.5,39
mcts,mcts_9x9,7,13.5,White,6.5,17
mcts,mcts_9x9,46,41.5,Black,4.5,101
mcts,mcts_9x9,13,19.5,White,6.5,29
mcts,mcts_9x9,5,11.5,White,6.5,13
mcts,mcts_9x9,47,39.5,Black,7.5,118
mcts,mcts_9x9,35,38.5,White,3.5,69
mcts,mcts_9x9,26,39.5,White,13.5,63
mcts,mcts_9x9,43,41.5,Black,1.5,89
mcts,mcts_9x9,16,19.5,White,3.5,33
mcts,mcts_9x9,53,29.5,Black,23.5,108
mcts,mcts_9x9,48,38.5,Black,9.5,108
mcts,mcts_9x9,43,44.5,White,1.5,108
mcts,mcts_9x9,56,12.5,Black,43.5,122
mcts,mcts_9x9,6,12.5,White,6.5,15
mcts,mcts_9x9,44,40.5,Black,3.5,107
mcts,mcts_9x9,32,40.5,White,8.5,71
mcts,mcts_9x9,34,42.5,White,8.5,73
mcts,mcts_9x9,44,43.5,Black,0.5,124
mcts,mcts_9x9,24,28.5,White,4.5,45
mcts,mcts_9x9,32,47.5,White,15.5,109
mcts,mcts_9x9,5,11.5,White,6.5,13
mcts,mcts_9x9,35,43.5,Black,8.5,104
mcts,mcts_9x9,27,35.5,White,8.5,55
mcts,mcts_9x9,27,25.5,Black,1.5,44
mcts,mcts_9x9,26,33.5,White,7.5,57
mcts,mcts_9x9,15,56.5,White,41.5,115
mcts,mcts_9x9,40,47.5,White,7.5,94
mcts,mcts_9x9,39,47.5,White,8.5,91
mcts,mcts_9x9,46,41.5,Black,4.5,127
mcts,mcts_9x9,38,49.5,White,11.5,124
mcts,mcts_9x9,56,25.5,Black,30.5,126
mcts,mcts_9x9,51,36.5,Black,14.5,125
mcts,mcts_9x9,64,20.5,Black,43.5,130
mcts,mcts_9x9,48,37.5,Black,10.5,119
mcts,mcts_9x9,41,45.5,White,4.5,102
mcts,mcts_9x9,40,37.5,Black,2.5,76
mcts,mcts_9x9,2,8.5,White,6.5,7
mcts,mcts_9x9,35,41.5,White,6.5,93
mcts,random,49,34.5,Black,14.5,90
mcts,random,42,39.5,Black,2.5,78
mcts,random,42,37.5,Black,4.5,78
mcts,random,56,27.5,Black,28.5,102
mcts,random,44,35.5,Black,8.5,110
mcts,random,47,30.5,Black,16.5,94
mcts,random,57,17.5,Black,39.5,110
mcts,random,46,39.5,Black,6.5,101
mcts,random,47,33.5,Black,13.5,98
mcts,random,44,37.5,Black,6.5,82
mcts,random,44,39.5,Black,4.5,88
mcts,random,49,36.5,Black,12.5,124
mcts,random,40,35.5,Black,4.5,82
mcts,random,45,38.5,Black,6.5,84
mcts,random,44,34.5,Black,9.5,84
mcts,random,44,32.5,Black,11.5,82
mcts,random,43,41.5,Black,1.5,92
mcts,random,41,39.5,Black,1.5,97
mcts,random,49,34.5,Black,14.5,96
mcts,random,58,23.5,Black,34.5,142
mcts,random,45,33.5,Black,11.5,82
mcts,random,47,37.5,Black,9.5,96
mcts,random,44,30.5,Black,13.5,94
mcts,random,55,27.5,Black,27.5,107
mcts,random,47,38.5,Black,8.5,106
mcts,random,43,34.5,Black,8.5,80
mcts,random,43,39.5,Black,3.5,98
mcts,random,47,35.5,Black,11.5,90
mcts,random,44,34.5,Black,9.5,90
mcts,random,44,39.5,Black,4.5,92
mcts,random,45,37.5,Black,7.5,90
mcts,random,53,31.5,Black,21.5,108
mcts,random,49,34.5,Black,14.5,104
mcts,random,39,37.5,Black,1.5,84
mcts,random,40,35.5,Black,4.5,78
mcts,random,41,37.5,Black,3.5,80
mcts,random,46,34.5,Black,11.5,80
mcts,random,60,23.5,Black,36.5,134
mcts,random,47,35.5,Black,11.5,106
mcts,random,81,6.5,Black,74.5,4
mcts,random,42,39.5,Black,2.5,90
mcts,random,60,23.5,Black,36.5,125
mcts,random,41,36.5,Black,4.5,80
mcts,random,42,39.5,Black,2.5,82
mcts,random,49,36.5,Black,12.5,104
mcts,random,43,38.5,Black,4.5,86
mcts,random,47,38.5,Black,8.5,92
mcts,random,43,34.5,Black,8.5,74
mcts,random,43,37.5,Black,5.5,76
mcts,random,42,39.5,Black,2.5,84
mcts_9x9,ga,51,34.5,Black,16.5,116
mcts_9x9,ga,48,37.5,Black,10.5,103
mcts_9x9,ga,45,40.5,Black,4.5,100
mcts_9x9,ga,45,41.5,Black,3.5,109
mcts_9x9,ga,44,37.5,Black,6.5,94
mcts_9x9,ga,48,37.5,Black,10.5,110
mcts_9x9,ga,45,40.5,Black,4.5,112
mcts_9x9,ga,55,16.5,Black,38.5,114
mcts_9x9,ga,47,37.5,Black,9.5,102
mcts_9x9,ga,30,57.5,White,27.5,115
mcts_9x9,ga,10,64.5,White,54.5,127
mcts_9x9,ga,65,18.5,Black,46.5,136
mcts_9x9,ga,53,32.5,Black,20.5,143
mcts_9x9,ga,46,36.5,Black,9.5,80
mcts_9x9,ga,63,24.5,Black,38.5,136
mcts_9x9,ga,48,39.5,Black,8.5,113
